cliente_id,qtd_fracionamentos,qtd_valores_atipicos,volume_total_brl,total_sinalizacoes,risco_regras,risco_agente,tipologia_agente,justificativa_agente,concorda
CLI-014,0,3,80629.99,3,alto,médio,Movimentação atípica de valor elevado,"O cliente apresentou 3 operações atípicas que somam R$ 58.366,21, representando 72.39% do volume total transacionado no período. A consulta detalhada das datas de valores atípicos revelou transações de montantes elevados, como o pagamento de R$ 23.640,97 via PIX e depósito de R$ 21.064,59 via TED com observação de remessa internacional, destoando da mediana de R$ 2.308,41. As evidências justificam o encaminhamento para análise humana para verificação da compatibilidade econômica dessas transações.",False
CLI-023,0,2,148535.016,2,médio,médio,Movimentação atípica de alto valor,"O cliente CLI-023 apresentou um volume total de R$ 148.535,02 distribuído em 12 operações, sendo que duas operações atípicas somaram R$ 107.185,34 (72.16% do volume). A investigação das datas atípicas revelou um depósito em espécie de R$ 41.768,17 em 28/04/2026 e uma transferência enviada para remessa internacional no valor de R$ 65.417,17 em 01/05/2026. A concentração de recursos em operações de valores significativos justifica a necessidade de análise humana para validação da origem e do destino dos recursos, sem caracterizar prova de ilicitude.",True
CLI-028,0,2,88750.8,2,médio,médio,Movimentação atípica de valor elevado sem fracionamento aparente,"O cliente CLI-028 apresentou um total de 12 operações no período analisado, acumulando um volume de R$ 88.750,80. A investigação focou na data atípica de 2026-03-21, onde foram identificadas duas transações de valores elevados via TED (uma entrada de R$ 24.875,39 e uma saída de R$ 25.590,87, totalizando R$ 52.590,87 no dia). Embora não haja evidência de fracionamento de valores, a alta concentração do volume financeiro em uma única data justifica a sinalização para análise humana a fim de verificar a compatibilidade da movimentação com a atividade econômica declarada.",True
CLI-013,0,2,81730.99,2,médio,médio,Movimentação atípica de valor elevado em data específica,"O cliente CLI-013 apresentou 10 operações no período, com volume total de R$ 81.730,99. Foram identificadas 2 operações atípicas no dia 2026-03-06, totalizando R$ 55.241,99 (67,59% do volume total), correspondendo a um depósito de R$ 26.754,23 via TED com contraparte Gama Consultoria SA e um saque de R$ 28.487,76 via TED para Lumen Servicos LTDA. Embora represente uma concentração relevante de recursos em data isolada em relação à mediana do cliente (R$ 3.146,22), trata-se de uma necessidade de análise humana para descartar justificativas comerciais legítimas, não constituindo prova de infração.",True
CLI-005,0,2,64742.66,2,médio,médio,Movimentação atípica de valor elevado,"O cliente CLI-005 apresentou um volume total de 64742.66 BRL distribuído em 11 operações, sendo 2 delas classificadas como atípicas, totalizando 42732.14 BRL (66.0% do volume). A consulta detalhada das datas de valores atípicos revelou uma transação expressiva de pagamento via cartão no valor de 30743.97 BRL em 2026-03-14 e uma transferência recebida em espécie no valor de 11988.17 BRL em 2026-04-12. Estas ocorrências justificam a necessidade de acompanhamento, configurando um cenário de risco médio que requer análise humana para verificar a compatibilidade da origem e destino dos recursos com o perfil do cliente.",True
CLI-026,0,2,54729.28,2,médio,médio,Concentração de volume em operações atípicas isoladas,"O cliente CLI-026 apresentou 12 operações totalizando R$ 54.729,28 no período analisado, com 2 operações consideradas atípicas que concentram 61.72% do volume total. A consulta detalhada das datas atípicas (2026-03-01 e 2026-05-17) revelou transações de maior expressão em comparação à mediana de R$ 2.032,93, sem evidências de fracionamento. As sinalizações indicam necessidade de análise humana para verificar a compatibilidade econômica dessas transações de maior monta com o perfil do cliente, configurando risco médio.",True
CLI-001,0,2,47947.81,2,médio,médio,Movimentação atípica em espécie,"O cliente apresentou 10 operações totalizando R$ 47.947,81, sendo 2 operações atípicas que concentram 72,16% do volume total. A consulta detalhada da data 2026-03-15 revelou uma operação de depósito em espécie no valor de R$ 25.110,15 com a contraparte Beta Transportes ME. As demais datas verificadas (2026-03-06 e 2026-05-26) apresentaram valores de menor monta via cartão e TED. A concentração de volume em transação atípica em espécie justifica a classificação de risco médio para análise humana aprofundada, sem configurar comprovação de ilicitude.",True
CLI-029,1,0,191385.766,1,médio,médio,Fracionamento de operações,"O cliente CLI-029 apresentou um dia de fracionamento identificado em 2026-05-26 com 4 operações totalizando R$ 71.297,68. Embora não haja operações atípicas por valor isolado ao longo do histórico, o comportamento de fracionamento em um único dia requer análise humana para verificar a justificativa comercial das transações.",True
CLI-017,1,0,121391.37,1,médio,médio,Fracionamento de Operações,"O cliente CLI-017 apresentou um histórico com 13 operações totalizando R$ 121.391,37, com sinalização determinística para fracionamento na data 2026-03-08. A consulta das operações do dia 2026-03-08 revelou quatro transações (saque, pagamento, transferência enviada e depósito) totalizando R$ 64.673,88, todas sinalizadas com flag de fracionamento. Essa concentração de transações em um único dia justifica a necessidade de análise humana, sem configurar comprovação de ilicitude.",True
CLI-030,0,1,117780.886,1,médio,médio,Movimentação atípica de valor expressivo em operação isolada,"O cliente CLI-030 apresentou 9 operações totalizando R$ 117.780,89 no período analisado, com forte concentração em uma única operação atípica de R$ 77.628,19 realizada em 2026-03-08, caracterizada como recebimento de transferência internacional (remessa) via TED de contraparte corporativa. Embora o fracionamento não tenha sido identificado, o volume expressivo concentrado nessa data justifica o encaminhamento para análise humana para confirmação da origem e justificativa econômica da remessa.",True
